Title,SMILES,Actividad,Variant,glide rotatable bonds,number heavy atoms,#NandO,#amine,#acid,#amide,#rotor,#in34,#in56,#metab,#nonHatm,#noncon,#ringatoms,#rtvFG,SASA,mol MW,volume,dipole,XP GScore,XP HBond,glide ecoul,glide einternal,glide_emodel,glide energy,glide evdw,MMGBSA dG Bind,MMGBSA dG Bind Coulomb,MMGBSA dG Bind Covalent,MMGBSA dG Bind Hbond,MMGBSA dG Bind Lipo,MMGBSA dG Bind Packing,MMGBSA dG Bind Solv GB,MMGBSA dG Bind vdW,Ligand Energy,SIFT Any Contact,SIFT Backbone Interaction,SIFT Sidechain Interaction,SIFT Polar Residues,SIFT Hydrophobic Residues,SIFT Hydrogen Bond Acceptor,SIFT Hydrogen Bond Donor,SIFT Aromatic Residue,SIFT Charged Residue
SR-05002688346-1,Fc1ccc2nc(sc2c1)N(CCCN3CCOCC3)C(=O)c4ccc5ncsc5c4,1,ligprep_louis.maegz:1-1,7,31,6,1,0,0,6,0,24,4,31,4,24,0,721.302,456.552,1316.755,4.11,-5.63330422555383,-1.4819225199013,-7.61297750473022,8.37436909898967,-74.2884140014648,-53.9261450767517,-46.3131675720215,-44.4342357584464,-17.6334020736213,13.2294919953074,-1.86449205535001,-13.9071443327734,-0.200529270349321,29.3611988381422,-53.4193588598005,52.7287490045543,18,7,15,10,4,0,1,1,7
SR-00000005993-2,COc1cccc(OCc2nc3ccc(cc3s2)c4cn[nH]c4)c1,1,ligprep_louis.maegz:10-1,5,24,5,0,0,0,4,0,20,4,24,0,20,0,616.88,337.395,1053.642,4.616,-5.27333178299913,-0.138684420443067,-3.54312586784363,1.50975549221039,-60.1384090182495,-43.684273481369,-40.1411476135254,-49.0925402803896,-11.8019596601443,1.24679483108412,-0.981263842462283,-15.3844426010116,-0.141868433736789,24.1634901979323,-46.1932907720388,-20.8522248603885,14,7,11,6,4,1,0,1,6
SR-05002688371-1,Fc1ccccc1N2NC3(CCCCC3)NC2=S,1,ligprep_louis.maegz:100-1,1,18,3,0,0,0,0,0,16,0,18,6,16,1,499.633,265.348,850.58,6.485,-4.02181620189497,-0.7,-5.18261766433716,1.19904267787933,-42.1576805114746,-34.4322476387024,-29.2496299743652,-35.6812546697856,-15.184553991814,2.11718018882675,-0.501825182294453,-13.1757926301466,-0.482700687721973,21.8044506445331,-30.2580130111626,-16.1655868711701,11,6,9,3,5,1,0,1,3
SR-05002688372-1,CCN1C(=S)N(NC12CC(C)CC(C)(C)C2)c3ccccc3,1,ligprep_louis.maegz:101-3,2,22,3,0,0,0,1,0,16,0,22,6,16,1,598.82,317.491,1085.328,7.311,-3.5373558394485,-0.67241176020793,-1.61051416397095,0.818807542324066,-45.1132048686226,-32.4028935432434,-30.7923793792725,-34.8463073250659,-5.61424349101799,-1.31861610180204,-0.461826374358566,-13.9972274210254,-8.57E-07,22.1608990910267,-35.6152921709227,10.2179265097962,10,6,8,3,5,1,0,1,2
SR-00000038904-1,COc1ccc(CN2CCN(CCCCN3Cc4ccccc4C3=O)CC2)c5ccccc15,1,ligprep_louis.maegz:11-1,8,33,5,2,0,0,8,0,25,5,33,5,25,0,826.057,443.588,1488.728,5.39,-3.41441139223587,0,-4.80968475341797,12.946852684021,-67.2416043300291,-51.1720314025879,-46.3623466491699,-74.3534494303458,22.442864863955,3.08475597073084,-0.003030538118821,-28.3147393827064,-1.4800703216787,-8.33018556270417,-61.7530444598231,66.7537415285438,17,8,13,6,7,0,0,2,4
SR-00000038905-1,COc1ccc(CN2CCN(CCCCN3Cc4cccnc4C3=O)CC2)c5ccccc15,1,ligprep_louis.maegz:12-2,8,33,6,2,0,0,8,0,25,6,33,5,25,0,840.627,444.575,1491.823,6.585,-5.33866915099878,-1.04632862244886,-5.95094680786133,9.69055461883545,-73.5398700259379,-53.0263481140137,-47.0754013061523,-51.4866689949304,-15.1793116919034,8.03093357516991,-0.874412587438371,-18.3797535428898,-1.15759954250643,32.2321271254118,-56.1586523307675,92.5732945270504,16,9,14,6,7,0,1,2,4
SR-00000038906-1,COc1ccc(CN2CCN(CCCCN3C(=O)Oc4ccccc34)CC2)c5ccccc15,1,ligprep_louis.maegz:13-1,8,33,6,2,0,0,8,0,25,4,33,4,25,0,797.176,445.56,1443.008,4.996,-7.2377001473806,-0.35,-4.88536405563354,6.77088642120361,-75.9105544952818,-53.652804851532,-48.7674407958984,-58.4870337924367,36.3035170307376,4.31746618862235,-0.807549646007374,-19.8864755222121,-5.41892713607022,-14.4107434727907,-58.5843212347177,43.2049106697002,17,7,13,6,6,0,1,1,4
SR-00000038907-1,COc1ccc(CN2CCN(CCCCN3C(=O)Oc4cccnc34)CC2)c5ccccc15,1,ligprep_louis.maegz:14-2,8,33,7,2,0,0,8,0,25,5,33,4,25,0,797.735,446.548,1439.102,4.4,-6.60646673418274,-1.13074991583362,-4.27423334121704,4.60417847394743,-76.1221466064453,-53.9180932044983,-49.6438598632812,-60.7396888824114,-15.4430411029716,9.0774386554458,-0.676292743568752,-21.4671261812623,-5.1261145543497,34.5809924539503,-61.6855454096591,95.9495585845042,17,8,13,8,4,0,1,1,5
SR-00000038908-1,COc1ccc(CN2CCN(CCCCN3C(=O)COc4ccc(Br)cc34)CC2)c5ccccc15,1,ligprep_louis.maegz:15-1,8,35,6,2,0,0,8,0,26,6,35,5,26,0,856.859,538.483,1549.33,3.165,-6.74214607104632,-0.33640186145407,-3.46325731277466,10.5951013565063,-76.1938954523656,-54.9735913276672,-51.5103340148926,-59.1774174259626,32.2909236767518,7.08129782365359,-1.1071857410501,-23.0616321516695,-1.52695471316497,-11.7528205842627,-61.1010457362183,79.807343915983,17,10,15,8,6,0,1,2,6
SR-00000038909-1,COc1cc2ncnc(N3CCN(CCCCN4Cc5ccccc5C4=O)CC3)c2cc1OC,1,ligprep_louis.maegz:16-1,8,34,8,1,0,0,7,0,25,5,34,5,25,0,821.799,461.563,1486.085,7.071,-5.91725065005886,0,-3.33752393722534,4.0178599357605,-74.7188618072209,-50.9289660453796,-47.5914421081543,-57.3774955232457,41.7889345317526,5.20726055064733,-0.463158162193849,-19.9148740099627,-2.25526275924618,-21.8416683570558,-59.8987273171959,63.0641400443935,14,7,13,6,7,1,0,1,4
