Title,SMILES,A549-hACE2_Cytotoxicity: CC50 (µM),P5_SARS-CoV2_nLuc inhibition: EC50 (µM),SI,Actividad
MWAC-0004126,O=C(C1=C(NC(CSC2=NC(C)=CC(C)=N2)=O)SC2=C1CCN(C(OC(C)(C)C)=O)C2)N,16.71,37.08,0.450647249190939,0
MWAC-0004125,O=C(C1=C(NC(CSC2=NC(C3=CN=CN=C3)=CC=N2)=O)SC2=C1CCN(C(OC(C)(C)C)=O)C2)N,29.55,41.83,0.706430791298111,0
MWAC-0003981,CCC1=NC(CN2CCC(C3CCNCC3)CC2)=NN1,50,50,1,0
MWAC-0003977,C1(C2CCN(CC3=NC(C4=CC=CC=C4)=CS3)CC2)CCNCC1,21.33,2.31,9.23376623376623,0
MWAC-0003971,CC1=NC(CN2CCC(C3CCNCC3)CC2)=NO1,50,11.34,4.40917107583774,0
MWAC-0003969,CC1=NC=CC(CN2CCC(C3CCNCC3)CC2)=N1,50,50,1,0
MWAC-0003965,O=C(C1CC1)N1CCC(C2CCN(CC3=NC4=C(CCCC4)S3)CC2)CC1,50,50,1,0
MWAC-0003962,N#CC1CCN(CC2=CC=CC=C2OCC(O)CN2CCSCC2)CC1,50,31.69,1.57778479015462,0
MWAC-0003813,c1cccc(-c2oc(CN3C[C@H]4[C@H](C3)OCCC(=O)N4C)cc2)c1C#N,50,50,1,0
MWAC-0003812,N1=C2N(CC1)C(CC(=O)N1CC(CCc3ccc(F)cc3)CCC1)=CS2,26.29,12.2,2.15491803278688,0
MWAC-0003811,c1ccccc1C(=O)C1CCCN(C(=O)c2ccc3c(c2)sc(C)n3)C1,50,50,1,0
MWAC-0003810,C1CCCc2c1nc(CNC(=O)[C@H]1CC[C@H](c3ccccc3)N1)s2,50,50,1,0
MWAC-0003809,c1c(Cl)ccc2c1C=C(C(=O)NCc1cc(-c3ccccn3)no1)CO2,50,50,1,0
MWAC-0003808,Cc1sc(C(=O)NCCN2Cc3c(cccc3)OC(c3c(OC)cccc3)C2)c(C)n1,28.37,41.25,0.687757575757576,0
MWAC-0003807,Cc1nc(CNC(=O)CCC2(Cc3ccc(OC)c4c3cccc4)CCC(=O)N2)cs1,50,22.94,2.1795989537925,0
MWAC-0003806,c1cccc(-c2oc(CN3CC4(CC)N(CC3)C(=O)OC4)cc2)c1C#N,50,50,1,0
