CatalogID,Canonical SMILES
Z85919073,O=C(O)c1ccc2c(c1)CC(c1ccccc1)NC2=O
Z85919081,CN1C(=O)c2ccc(C(=O)O)cc2CC1c1ccccc1
Z96092105,N#Cc1ccc([C@H]2[C@@H](C(=O)O)c3ccccc3C(=O)N2Cc2ccc(F)cc2)cc1
Z96092106,O=C(O)[C@H]1c2ccccc2C(=O)N(Cc2ccc(F)cc2)[C@H]1c1ccc(Cl)cc1
Z96092857,COC(=O)c1ccc([C@H]2[C@@H](C(=O)O)c3ccccc3C(=O)N2Cc2ccc(F)cc2)cc1
Z96092858,CSc1ccc([C@H]2[C@@H](C(=O)O)c3ccccc3C(=O)N2Cc2ccc(F)cc2)cc1
Z96092859,O=C(O)[C@H]1c2ccccc2C(=O)N(Cc2ccc(F)cc2)[C@H]1c1ccccc1F
Z96092860,O=C(O)[C@H]1c2ccccc2C(=O)N(Cc2ccc(F)cc2)[C@H]1c1ccc(C(F)(F)F)cc1
Z96092861,COc1cc([C@H]2[C@@H](C(=O)O)c3ccccc3C(=O)N2Cc2ccc(F)cc2)cc(OC)c1OC
Z96092599,CC(=O)Nc1ccc([C@H]2[C@@H](C(=O)O)c3ccccc3C(=O)N2Cc2ccc(F)cc2)cc1
Z96092349,COc1cccc([C@H]2[C@@H](C(=O)O)c3ccccc3C(=O)N2Cc2ccc(F)cc2)c1
Z94598110,COc1ccc([C@H]2[C@@H](C(=O)O)c3ccccc3C(=O)N2Cc2ccccc2OC)cc1
Z107728740,O=C(O)[C@@H]1c2ccccc2C(=O)N(Cc2ccccc2)[C@@H]1c1cccc([N+](=O)[O-])c1
Z104342536,COc1ccc([C@@H]2[C@H](C(=O)O)c3ccccc3C(=O)N2c2ccc(C)cc2)cc1
Z104342538,O=C(O)[C@@H]1c2ccccc2C(=O)N(Cc2ccccc2)[C@@H]1c1ccc([N+](=O)[O-])cc1
Z104342540,CCOc1ccc([C@@H]2[C@H](C(=O)O)c3ccccc3C(=O)N2Cc2ccccc2)c(O)c1
